"Source";"Target";"Type";"Year"
15046;20917;"Directed";1986
15046;19053;"Directed";1986
15046;29927;"Directed";1986
15046;27212;"Directed";1986
15046;27814;"Directed";1986
15046;33178;"Directed";1986
15046;32289;"Directed";1986
15046;34368;"Directed";1986
15046;3462;"Directed";1986
15046;25071;"Directed";1986
15046;19947;"Directed";1986
15046;27232;"Directed";1986
15046;13358;"Directed";1986
3416;22454;"Directed";1988
3416;10465;"Directed";1988
3416;31445;"Directed";1988
3416;32173;"Directed";1988
3416;3065;"Directed";1988
3416;15609;"Directed";1988
3416;1621;"Directed";1988
3416;15597;"Directed";1988
3416;23954;"Directed";1988
3416;37213;"Directed";1988
3416;9717;"Directed";1988
3416;26551;"Directed";1988
3416;3253;"Directed";1988
3416;4304;"Directed";1988
3416;28549;"Directed";1988
3416;34715;"Directed";1988
3416;4970;"Directed";1988
3416;1851;"Directed";1988
3416;23981;"Directed";1988
3416;33752;"Directed";1988
3416;17099;"Directed";1988
3416;641;"Directed";1988
3416;1284;"Directed";1988
3416;26563;"Directed";1988
3416;18252;"Directed";1988
3416;4395;"Directed";1988
3416;6526;"Directed";1988
3416;36823;"Directed";1988
3416;21291;"Directed";1988
3416;22446;"Directed";1988
3416;7700;"Directed";1988
3416;21133;"Directed";1988
3416;34649;"Directed";1988
3416;7397;"Directed";1988
34036;13363;"Directed";1991
34036;12417;"Directed";1991
34036;24297;"Directed";1991
34036;1455;"Directed";1991
34036;19533;"Directed";1991
34036;7154;"Directed";1991
34036;18500;"Directed";1991
34036;28177;"Directed";1991
34036;20548;"Directed";1991
34036;1128;"Directed";1991
34036;5856;"Directed";1991
34036;37330;"Directed";1991
34036;31712;"Directed";1991
34036;25480;"Directed";1991
34036;24884;"Directed";1991
34036;14851;"Directed";1991
34036;18204;"Directed";1991
34036;9996;"Directed";1991
34036;23741;"Directed";1991
34036;993;"Directed";1991
34036;24598;"Directed";1991
34036;2926;"Directed";1991
34036;7013;"Directed";1991
34036;29378;"Directed";1991
34036;22032;"Directed";1991
34036;30147;"Directed";1991
34036;24608;"Directed";1991
34036;31168;"Directed";1991
34036;4659;"Directed";1991
34036;22620;"Directed";1991
34036;485;"Directed";1991
34036;11808;"Directed";1991
34036;10079;"Directed";1991
34036;30881;"Directed";1991
34036;22915;"Directed";1991
34036;22330;"Directed";1991
34036;17787;"Directed";1991
34036;33827;"Directed";1991
34036;17309;"Directed";1991
34036;5852;"Directed";1991
34036;35591;"Directed";1991
34036;31742;"Directed";1991
34036;3516;"Directed";1991
34036;17614;"Directed";1991
34036;25506;"Directed";1991
34036;15192;"Directed";1991
34036;6737;"Directed";1991
34036;840;"Directed";1991
34036;19068;"Directed";1991
34036;30596;"Directed";1991
34036;7899;"Directed";1991
34036;37084;"Directed";1991
34036;1506;"Directed";1991
34036;15787;"Directed";1991
34036;11021;"Directed";1991
34036;17630;"Directed";1991
34036;9672;"Directed";1991
34036;5581;"Directed";1991
34036;3823;"Directed";1991
34036;1511;"Directed";1991
34036;11978;"Directed";1991
34036;18252;"Directed";1991
34036;1221;"Directed";1991
34036;14321;"Directed";1991
34036;30612;"Directed";1991
34036;33859;"Directed";1991
34036;22949;"Directed";1991
34036;15511;"Directed";1991
34036;23408;"Directed";1991
34036;12483;"Directed";1991
34036;7267;"Directed";1991
34036;2693;"Directed";1991
34036;15517;"Directed";1991
34036;23233;"Directed";1991
34036;6766;"Directed";1991
34036;5004;"Directed";1991
34036;4020;"Directed";1991
34036;6468;"Directed";1991
34036;21793;"Directed";1991
34036;11098;"Directed";1991
34036;4712;"Directed";1991
34036;7642;"Directed";1991
34036;10503;"Directed";1991
34036;11809;"Directed";1991
34036;36550;"Directed";1991
34036;8216;"Directed";1991
34036;15827;"Directed";1991
34036;28856;"Directed";1991
34036;30771;"Directed";1991
34036;19363;"Directed";1991
34036;737;"Directed";1991
34036;28860;"Directed";1991
34036;19192;"Directed";1991
34036;18598;"Directed";1991
